product_id,skin_type
P392245,normal
P392245,oily
P440925,oily
P440925,normal
P440925,dry
P440925,combination
P122774,combination
P122774,oily
P122774,dry
P122774,normal
P386197,dry
P386197,combination
P386197,oily
P386197,normal
P427415,combination
P427415,normal
P427415,dry
P427415,oily
P174502,combination
P174502,normal
P174502,dry
P174502,oily
P439058,normal
P439058,dry
P439058,combination
P439058,oily
P427420,normal
P427420,combination
P427420,dry
P427420,oily
P39274,combination
P39274,dry
P39274,oily
P39274,normal
P449599,combination
P449599,dry
P449599,oily
P449599,normal
P400259,normal
P400259,combination
P400259,dry
P400259,oily
P379510,combination
P379510,dry
P379510,oily
P379510,normal
P443840,combination
P443840,oily
P443840,normal
P443840,dry
P54509,combination
P54509,dry
P54509,normal
P54509,oily
P428250,dry
P428250,combination
P428250,normal
P428250,oily
P447780,normal
P447780,combination
P447780,dry
P447780,oily
P443833,normal
P443833,combination
P443833,oily
P443833,dry
P429242,dry
P429242,combination
P429242,oily
P429242,normal
P114902,dry
P114902,normal
P114902,oily
P114902,combination
P442566,normal
P442566,combination
P442566,dry
P442566,oily
P431848,combination
P431848,oily
P431848,dry
P431848,normal
P453825,combination
P453825,dry
P453825,normal
P453825,oily
P402718,combination
P402718,dry
P402718,oily
P402718,normal
P447592,dry
P447592,combination
P447592,oily
P447592,normal
P442594,dry
P442594,combination
P442594,normal
P442594,oily
P429515,combination
P429515,dry
P429515,oily
P429515,normal
P416563,combination
P416563,dry
P416563,normal
P416563,oily
P473322,combination
P473322,normal
P473322,oily
P473322,dry
P415619,dry
P415619,combination
P415619,oily
P415619,normal
P456392,oily
P456392,dry
P456392,combination
P456392,normal
P479327,dry
P479327,normal
P479327,combination
P479327,oily
P416815,oily
P416815,combination
P416815,normal
P416815,dry
P482320,combination
P482320,dry
P482320,normal
P482320,oily
P460516,dry
P460516,combination
P460516,oily
P460516,normal
P456418,dry
P456418,oily
P456418,combination
P456418,normal
P433435,combination
P433435,oily
P433435,dry
P433435,normal
P448203,normal
P448203,combination
P448203,dry
P448203,oily
P470529,oily
P470529,dry
P470529,combination
P470529,normal
P404338,oily
P404338,dry
P404338,normal
P404338,combination
P466155,oily
P466155,combination
P466155,dry
P466155,normal
P503936,combination
P503936,dry
P503936,normal
P503936,oily
P377533,combination
P377533,normal
P377533,dry
P377533,oily
P416341,normal
P416341,combination
P416341,dry
P416341,oily
P426501,normal
P426501,combination
P426501,dry
P426501,oily
P122882,normal
P122882,combination
P122882,dry
P122882,oily
P411539,combination
P411539,dry
P411539,oily
P411539,normal
P419222,dry
P419222,normal
P419222,combination
P419222,oily
P474938,combination
P474938,dry
P474938,oily
P474938,normal
P458209,combination
P458209,oily
P458209,dry
P458209,normal
P417936,combination
P417936,dry
P417936,normal
P417936,oily
P415747,oily
P415747,combination
P415747,dry
P415747,normal
P454018,dry
P454018,combination
P454018,normal
P454018,oily
P482739,combination
P482739,dry
P482739,oily
P482739,normal
P434360,dry
P434360,oily
P434360,combination
P434360,normal
P462336,combination
P462336,dry
P462336,normal
P462336,oily
P467038,dry
P467038,combination
P467038,normal
P467038,oily
P463036,combination
P463036,normal
P463036,dry
P463036,oily
P404795,normal
P404795,oily
P404795,dry
P404795,combination
P439055,oily
P439055,combination
P439055,dry
P439055,normal
P481989,oily
P481989,combination
P481989,normal
P481989,dry
P427413,combination
P427413,normal
P427413,oily
P427413,dry
P203616,normal
P203616,oily
P203616,combination
P203616,dry
P466142,normal
